ISSN,Archive accepted manuscript,Archive published version,Sherpa/Romeo colour,Sherpa/Romeo Licence,Journal,Updated
0098-6445,12 months embargo,cannot,green,,Chemical Engineering Communications,26/03/2014,
1563-5201,12 months embargo,cannot,green,,Chemical Engineering Communications,26/03/2014,
1828-051X,can,can,green,CC-BY-NC,Italian Journal of Animal Science,24/11/2016,
2306-7381,can,can,green,CC-BY,Veterinary Sciences,14/12/2016,
0938-8990,12 months embargo,cannot,green,,Mammalian Genome,16/05/2014,
1432-1777,12 months embargo,cannot,green,,Mammalian Genome,16/05/2014,
0891-6640,can,can,green,CC-BY-NC,Journal of Veterinary Internal Medicine,27/10/2016,
1939-1676,can,can,green,CC-BY-NC,Journal of Veterinary Internal Medicine,27/10/2016,
2049-1891,can,can,green,CC-BY,Journal of Animal Science and Biotechnology,3/09/2018,
0921-4488,12 months embargo,cannot,green,CC-BY-NC-ND,Small Ruminant Research,1/07/2016,
1323-5818,12 months embargo,cannot,green,,Molluscan Research,26/03/2014,
1448-6067,12 months embargo,cannot,green,,Molluscan Research,26/03/2014,
2375-6314,No information,No information,No information,,Aerospace Medicine and Human Performance,,
2375-6322,No information,No information,No information,,Aerospace Medicine and Human Performance,,
1806-9061,unknown,unknown,gray,,Revista Brasileira de Ciência Avícola,16/05/2019,
1516-635X,unknown,unknown,gray,,Revista Brasileira de Ciência Avícola,16/05/2019,
0048-0169,12 months embargo,cannot,green,,New Zealand Veterinary Journal,26/03/2014,
1176-0710,12 months embargo,cannot,green,,New Zealand Veterinary Journal,26/03/2014,
0304-4017,12 months embargo,cannot,green,CC-BY-NC-ND,Veterinary Parasitology,1/07/2016,
1057-9230,12 months embargo,cannot,yellow,,Health Economics,24/11/2017,
1099-1050,12 months embargo,cannot,yellow,,Health Economics,24/11/2017,
2475-6741,,,,,Victorians: A Journal of Culture and Literature,,
2559-902X,cannot,can,blue,,Földtani Közlöny,18/01/2018,
0015-542X,cannot,can,blue,,Földtani Közlöny,18/01/2018,
2167-0919,,,,,Journal of Telecommunications System & Management,,
0925-5214,12 months embargo,cannot,green,CC-BY-NC-ND,Postharvest Biology and Technology,1/05/2015,
2213-3291,12 months embargo,cannot,green,CC-BY-NC-ND,Food Structure,1/07/2016,
1011-2367,unknown,unknown,gray,,Asian-Australasian Journal of Animal Sciences,16/05/2019,
1976-5517,unknown,unknown,gray,,Asian-Australasian Journal of Animal Sciences,16/05/2019,
1662-9647,can,cannot,green,,GeroPsych,11/10/2019,
1662-971X,can,cannot,green,,GeroPsych,11/10/2019,
1036-7314,12 months embargo,cannot,green,CC-BY-NC-ND,Australian Critical Care,1/05/2015,
1940-0829,can,can,green,CC-BY,Tropical Conservation Science,22/02/2018,
1528-7483,12 months embargo,cannot,white,,Crystal Growth & Design,19/09/2016,
1528-7505,12 months embargo,cannot,white,,Crystal Growth & Design,19/09/2016,
1386-5056,12 months embargo,cannot,green,CC-BY-NC-ND,International Journal of Medical Informatics,1/05/2015,
2367-1890,cannot,can,blue,CC-BY-NC-ND,Sports Medicine International Open,15/09/2014,
2219-0635,can,can,green,CC-BY,Onderstepoort Journal of Veterinary Research,24/03/2017,
0030-2465,can,can,green,CC-BY,Onderstepoort Journal of Veterinary Research,24/03/2017,
0168-1656,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Biotechnology,1/07/2016,
0268-2575,12 months embargo,cannot,yellow,,Journal of Chemical Technology & Biotechnology,24/11/2017,
1097-4660,12 months embargo,cannot,yellow,,Journal of Chemical Technology & Biotechnology,24/11/2017,
0219-6492,12 months embargo,cannot,yellow,,Journal of Information & Knowledge Management,29/10/2014,
1793-6926,12 months embargo,cannot,yellow,,Journal of Information & Knowledge Management,29/10/2014,
0931-2668,12 months embargo,cannot,yellow,,Journal of Animal Breeding and Genetics,24/11/2017,
1439-0388,12 months embargo,cannot,yellow,,Journal of Animal Breeding and Genetics,24/11/2017,
1389-9341,12 months embargo,cannot,green,CC-BY-NC-ND,Forest Policy and Economics,1/05/2015,
0748-321X,12 months embargo,cannot,yellow,,Journal of Veterinary Medical Education,20/04/2018,
1943-7218,12 months embargo,cannot,yellow,,Journal of Veterinary Medical Education,20/04/2018,
1006-4982,12 months embargo,cannot,green,,Transactions of Tianjin University,16/05/2014,
1995-8196,12 months embargo,cannot,green,,Transactions of Tianjin University,16/05/2014,
1445-8810,,,,,ANZIAM Journal,,
0899-5605,can,cannot,green,,Military Psychology,2/10/2017,
1532-7876,can,cannot,green,,Military Psychology,2/10/2017,
1043-951X,12 months embargo,cannot,green,CC-BY-NC-ND,China Economic Review,1/05/2015,
1741-038X,can,cannot,green,,Journal of Manufacturing Technology Management,16/02/2018,
0265-0533,12 months embargo,cannot,green,,Journal of Social Work Practice,26/03/2014,
1465-3885,12 months embargo,cannot,green,,Journal of Social Work Practice,26/03/2014,
0145-2134,12 months embargo,cannot,green,CC-BY-NC-ND,Child Abuse & Neglect,1/05/2015,
1609-4069,can,can,green,CC-BY,International Journal of Qualitative Methods,22/02/2018,
1348-9585,No information,No information,No information,,Journal of Occupational Health,,
1471-3012,can,cannot,green,,Dementia,21/08/2019,
1741-2684,can,cannot,green,,Dementia,21/08/2019,
2057-0384,12 months embargo,cannot,yellow,,"Drawing: Research, Theory, Practice",11/02/2016,
2057-0392,12 months embargo,cannot,yellow,,"Drawing: Research, Theory, Practice",11/02/2016,
1526-5943,can,cannot,green,,The Journal of Risk Finance,16/02/2018,
1062-9769,24 months embargo,cannot,green,CC-BY-NC-ND,The Quarterly Review of Economics and Finance,9/01/2017,
1810-4967,unknown,unknown,gray,,Investment Management and Financial Innovations,16/05/2019,
1812-9358,unknown,unknown,gray,,Investment Management and Financial Innovations,16/05/2019,
0020-7187,12 months embargo,cannot,green,,International Journal of Early Childhood,16/05/2014,
1878-4658,12 months embargo,cannot,green,,International Journal of Early Childhood,16/05/2014,
2205-6033,,,,,Asia Pacific Journal of Advanced Business and Social Studies,,
1931-3195,can,can,green,,Journal of Applied Remote Sensing,29/07/2019,
0888-8892,12 months embargo,cannot,yellow,,Conservation Biology,24/11/2017,
1523-1739,12 months embargo,cannot,yellow,,Conservation Biology,24/11/2017,
1058-1243,12 months embargo,cannot,green,CC-BY-NC -ND,The Journal of Perinatal Education,21/06/2018,
1548-8519,12 months embargo,cannot,green,CC-BY-NC -ND,The Journal of Perinatal Education,21/06/2018,
1176-6662,,,,,Teachers' Work,,
0161-3499,12 months embargo,cannot,yellow,,Veterinary Surgery,24/11/2017,
1532-950X,12 months embargo,cannot,yellow,,Veterinary Surgery,24/11/2017,
0932-0814,12 months embargo,can,blue,,Veterinary and Comparative Orthopaedics and Traumatology,14/04/2015,
2567-6911,12 months embargo,can,blue,,Veterinary and Comparative Orthopaedics and Traumatology,14/04/2015,
1867-2477,12 months embargo,cannot,green,,Geoheritage,16/05/2014,
1867-2485,12 months embargo,cannot,green,,Geoheritage,16/05/2014,
0165-0009,12 months embargo,cannot,green,,Climatic Change,18/10/2018,
1573-1480,12 months embargo,cannot,green,,Climatic Change,18/10/2018,
2224-2708,can,can,green,CC-BY,Journal of Sensor and Actuator Networks,14/12/2016,
1352-4658,12 months embargo,12 months embargo,green,CC-BY-NC-ND,Behavioural and Cognitive Psychotherapy,13/02/2018,
1469-1833,12 months embargo,12 months embargo,green,CC-BY-NC-ND,Behavioural and Cognitive Psychotherapy,13/02/2018,
0749-503X,12 months embargo,cannot,yellow,,Yeast,24/11/2017,
1097-0061,12 months embargo,cannot,yellow,,Yeast,24/11/2017,
0142-5455,can,cannot,green,,Employee Relations,16/02/2018,
0005-0423,12 months embargo,cannot,yellow,,Australian Veterinary Journal,24/11/2017,
1751-0813,12 months embargo,cannot,yellow,,Australian Veterinary Journal,24/11/2017,
1557-1858,12 months embargo,cannot,green,,Food Biophysics,18/10/2018,
1557-1866,12 months embargo,cannot,green,,Food Biophysics,18/10/2018,
1756-6606,can,can,green,CC-BY,Molecular Brain,3/09/2018,
0743-0167,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Rural Studies,1/05/2015,
0033-2941,can,cannot,green,,Psychological Reports,21/08/2019,
1558-691X,can,cannot,green,,Psychological Reports,21/08/2019,
0964-4733,2 years embargo,cannot,yellow,,Business Strategy and the Environment,24/11/2017,
1099-0836,2 years embargo,cannot,yellow,,Business Strategy and the Environment,24/11/2017,
2472-3126,,,,,International Journal of ICT Research in Africa and the Middle East,,
2472-3134,,,,,International Journal of ICT Research in Africa and the Middle East,,
2056-4880,can,cannot,green,,International Journal of Information and Learning Technology,16/02/2018,
1946-0538,,,,,Alternative Spirituality and Religion Review,,
1389-224X,18 months embargo,cannot,green,,The Journal of Agricultural Education and Extension,26/03/2014,
1750-8622,18 months embargo,cannot,green,,The Journal of Agricultural Education and Extension,26/03/2014,
0964-3397,12 months embargo,cannot,green,CC-BY-NC-ND,Intensive and Critical Care Nursing,1/07/2016,
1442-9985,6 months embargo,cannot,yellow,,Austral Ecology,24/11/2017,
1442-9993,6 months embargo,cannot,yellow,,Austral Ecology,24/11/2017,
0906-7590,can,can,green,CC-BY,Ecography,27/10/2016,
1600-0587,can,can,green,CC-BY,Ecography,27/10/2016,
1479-4802,18 months embargo,cannot,green,,Research in Mathematics Education,26/03/2014,
1754-0178,18 months embargo,cannot,green,,Research in Mathematics Education,26/03/2014,
1326-0219,18 months embargo,cannot,green,,Journal of Iberian and Latin American Research,26/03/2014,
2151-9668,18 months embargo,cannot,green,,Journal of Iberian and Latin American Research,26/03/2014,
2056-9785,,,,,Journal of Media Critiques,,
2056-9793,unknown,unknown,gray,,Journal of Media Critiques,16/05/2019,
0010-0870,can,can,blue,CC-BY-NC,College & Research Libraries,15/06/2015,
2150-6701,can,can,blue,CC-BY-NC,College & Research Libraries,15/06/2015,
1532-5024,12 months embargo,cannot,green,,Journal of Loss and Trauma,26/03/2014,
1532-5032,12 months embargo,cannot,green,,Journal of Loss and Trauma,26/03/2014,
2397-8821,12 months embargo,cannot,yellow,,International Journal of Care and Caring,27/04/2017,
2055-0928,can,can,green,CC-BY,BMC Nutrition,3/09/2018,
0303-2434,12 months embargo,cannot,green,CC-BY-NC-ND,International Journal of Applied Earth Observation and Geoinformation,1/05/2015,
1554-0138,can,cannot,green,,PsycCRITIQUES,2/10/2017,
0145-6008,12 months embargo,cannot,yellow,,Alcoholism: Clinical and Experimental Research,24/11/2017,
1530-0277,12 months embargo,cannot,yellow,,Alcoholism: Clinical and Experimental Research,24/11/2017,
1543-8627,12 months embargo,cannot,green,,Research in Sports Medicine,26/03/2014,
1543-8635,12 months embargo,cannot,green,,Research in Sports Medicine,26/03/2014,
1938-8071,18 months embargo,cannot,green,,Literacy Research and Instruction,26/03/2014,
1938-8063,18 months embargo,cannot,green,,Literacy Research and Instruction,26/03/2014,
2405-9390,No information,No information,No information,,Veterinary Parasitology: Regional Studies and Reports,,
0169-7722,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Contaminant Hydrology,1/05/2015,
1091-9392,12 months embargo,cannot,green,,Journal of Organizational Computing and Electronic Commerce,26/03/2014,
1532-7744,12 months embargo,cannot,green,,Journal of Organizational Computing and Electronic Commerce,26/03/2014,
2297-1769,can,can,green,CC-BY,Frontiers in Veterinary Science,9/02/2016,
2405-8440,can,can,green,CC-BY,Heliyon,11/04/2019,
0168-8162,12 months embargo,cannot,green,,Experimental and Applied Acarology,18/10/2018,
1572-9702,12 months embargo,cannot,green,,Experimental and Applied Acarology,18/10/2018,
2079-9292,can,can,green,CC-BY,Electronics,14/12/2016,
0324-4652,12 months embargo,cannot,green,,Neohelicon,16/05/2014,
1588-2810,12 months embargo,cannot,green,,Neohelicon,16/05/2014,
0022-474X,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Stored Products Research,1/05/2015,
1726-0531,can,cannot,green,,"Journal of Engineering, Design and Technology",16/02/2018,
0167-5877,12 months embargo,cannot,green,CC-BY-NC-ND,Preventive Veterinary Medicine,1/07/2016,
0300-9858,can,cannot,green,,Veterinary Pathology,21/08/2019,
1544-2217,can,cannot,green,,Veterinary Pathology,21/08/2019,
0048-3486,can,cannot,green,,Personnel Review,16/02/2018,
0964-9069,12 months embargo,cannot,green,,Journal of Social Welfare and Family Law,26/03/2014,
1469-9621,12 months embargo,cannot,green,,Journal of Social Welfare and Family Law,26/03/2014,
0748-8017,12 months embargo,cannot,yellow,,Quality and Reliability Engineering International,24/11/2017,
1099-1638,12 months embargo,cannot,yellow,,Quality and Reliability Engineering International,24/11/2017,
1553-7404,can,can,green,CC-BY,PLOS Genetics,8/09/2016,
1478-3363,18 months embargo,cannot,green,,Total Quality Management & Business Excellence,26/03/2014,
1478-3371,18 months embargo,cannot,green,,Total Quality Management & Business Excellence,26/03/2014,
0361-2317,12 months embargo,cannot,yellow,,Color Research & Application,24/11/2017,
1520-6378,12 months embargo,cannot,yellow,,Color Research & Application,24/11/2017,
1749-4060,18 months embargo,cannot,green,,Jazz Perspectives,26/03/2014,
1749-4079,18 months embargo,cannot,green,,Jazz Perspectives,26/03/2014,
2156-5783,12 months embargo,cannot,green,,Journal of Caffeine Research,18/03/2015,
2156-5368,12 months embargo,cannot,green,,Journal of Caffeine Research,18/03/2015,
0742-0528,12 months embargo,cannot,green,,Chronobiology International,26/03/2014,
1525-6073,12 months embargo,cannot,green,,Chronobiology International,26/03/2014,
1936-4954,can,can,green,,SIAM Journal on Imaging Sciences,12/07/2018,
1756-8692,can,cannot,green,,International Journal of Climate Change Strategies and Management,16/02/2018,
0378-1135,12 months embargo,cannot,green,CC-BY-NC-ND,Veterinary Microbiology,1/07/2016,
0031-1820,6 months embargo,cannot,green,CC-BY-NC-ND,Parasitology,7/10/2014,
1469-8161,6 months embargo,cannot,green,CC-BY-NC-ND,Parasitology,7/10/2014,
0163-7827,12 months embargo,cannot,green,CC-BY-NC-ND,Progress in Lipid Research,1/07/2016,
0892-7936,18 months embargo,cannot,green,,Anthrozoös,26/03/2014,
1753-0377,18 months embargo,cannot,green,,Anthrozoös,26/03/2014,
0167-5427,No information,No information,No information,,Aquatic Mammals,,
1863-5407,can,can,green,CC-BY,Endangered Species Research,18/08/2015,
1613-4796,can,can,green,CC-BY,Endangered Species Research,18/08/2015,
0003-6870,12 months embargo,cannot,green,CC-BY-NC-ND,Applied Ergonomics,1/05/2015,
0002-9122,12 months embargo,cannot,green,,American Journal of Botany,8/07/2015,
1537-2197,12 months embargo,cannot,green,,American Journal of Botany,8/07/2015,
1073-1105,can,cannot,green,,"The Journal of Law, Medicine & Ethics",21/08/2019,
1748-720X,can,cannot,green,,"The Journal of Law, Medicine & Ethics",21/08/2019,
1524-5004,12 months embargo,cannot,green,,Social Marketing Quarterly,26/03/2014,
1539-4093,12 months embargo,cannot,green,,Social Marketing Quarterly,26/03/2014,
2191-5040,can,can,green,CC-BY,Journal of Applied Volcanology,7/09/2018,
1748-9539,12 months embargo,cannot,green,,Evidence-Based Communication Assessment and Intervention,26/03/2014,
1748-9547,12 months embargo,cannot,green,,Evidence-Based Communication Assessment and Intervention,26/03/2014,
1077-3525,12 months embargo,cannot,yellow,,International Journal of Occupational and Environmental Health,22/01/2014,
2049-3967,12 months embargo,cannot,yellow,,International Journal of Occupational and Environmental Health,22/01/2014,
0094-9655,12 months embargo,cannot,green,,Journal of Statistical Computation and Simulation,26/03/2014,
1563-5163,12 months embargo,cannot,green,,Journal of Statistical Computation and Simulation,26/03/2014,
1570-1638,12 months embargo,cannot,yellow,,Current Drug Discovery Technologies,19/12/2014,
0147-6513,12 months embargo,cannot,green,CC-BY-NC-ND,Ecotoxicology and Environmental Safety,1/05/2015,
1090-2414,12 months embargo,cannot,green,CC-BY-NC-ND,Ecotoxicology and Environmental Safety,1/05/2015,
2049-257X,can,can,green,CC-BY,Journal of Applied Animal Nutrition,7/01/2020,
0004-8038,12 months embargo,cannot,green,,The Auk,30/05/2017,
1938-4254,12 months embargo,cannot,green,,The Auk,30/05/2017,
0149-7189,24 months embargo,cannot,green,CC-BY-NC-ND,Evaluation and Program Planning,9/01/2017,
1062-726X,18 months embargo,cannot,green,,Journal of Public Relations Research,26/03/2014,
1532-754X,18 months embargo,cannot,green,,Journal of Public Relations Research,26/03/2014,
0013-4651,can,cannot,green,,Journal of The Electrochemical Society,1/06/2015,
1945-7111,can,cannot,green,,Journal of The Electrochemical Society,1/06/2015,
2373-9878,12 months embargo,cannot,white,,ACS Biomaterials Science & Engineering,19/09/2016,
1757-9759,can,cannot,green,,Global Health Promotion,21/08/2019,
1757-9767,can,cannot,green,,Global Health Promotion,21/08/2019,
0067-1924,can,cannot,green,,Australian Journal of Botany,28/07/2016,
1753-8270,can,cannot,green,,International Journal of Housing Markets and Analysis,16/02/2018,
0012-155X,2 years embargo,cannot,yellow,,Development and Change,24/11/2017,
1467-7660,2 years embargo,cannot,yellow,,Development and Change,24/11/2017,
0377-8401,12 months embargo,cannot,green,CC-BY-NC-ND,Animal Feed Science and Technology,1/07/2016,
0032-5791,12 months embargo,cannot,green,,Poultry Science,30/05/2017,
1525-3171,12 months embargo,cannot,green,,Poultry Science,30/05/2017,
2398-7308,,,,,Annals of Work Exposures and Health,,
2398-7316,,,,,Annals of Work Exposures and Health,,
1931-857X,12 months embargo,cannot,yellow,,American Journal of Physiology-Renal Physiology,9/02/2016,
1522-1466,12 months embargo,cannot,yellow,,American Journal of Physiology-Renal Physiology,9/02/2016,
2199-1170,can,can,green,CC-BY,Sports Medicine - Open,9/10/2018,
2198-9761,can,can,green,CC-BY,Sports Medicine - Open,9/10/2018,
2373-6402,,,,,Advances in Plants & Agriculture Research,,
1359-0294,12 months embargo,cannot,green,CC-BY-NC-ND,Current Opinion in Colloid & Interface Science,1/05/2015,
1525-7797,12 months embargo,cannot,white,,Biomacromolecules,19/09/2016,
1526-4602,12 months embargo,cannot,white,,Biomacromolecules,19/09/2016,
0950-0340,12 months embargo,cannot,green,,Journal of Modern Optics,26/03/2014,
1362-3044,12 months embargo,cannot,green,,Journal of Modern Optics,26/03/2014,
0160-4120,can,can,green,CC-BY,Environment International,11/04/2019,
0277-6715,12 months embargo,cannot,yellow,,Statistics in Medicine,24/11/2017,
1097-0258,12 months embargo,cannot,yellow,,Statistics in Medicine,24/11/2017,
2055-1169,can,can,green,CC-BY,Journal of Feline Medicine and Surgery Open Reports,22/02/2018,
2446-1822,,,,,Journal of Industrial Engineering and Management Science,,
2076-0787,can,can,green,CC-BY,Humanities,14/12/2016,
1469-7688,18 months embargo,cannot,green,,Quantitative Finance,26/03/2014,
1469-7696,18 months embargo,cannot,green,,Quantitative Finance,26/03/2014,
1367-6261,18 months embargo,cannot,green,,Journal of Youth Studies,26/03/2014,
1469-9680,18 months embargo,cannot,green,,Journal of Youth Studies,26/03/2014,
0022-541X,12 months embargo,cannot,yellow,,The Journal of Wildlife Management,24/11/2017,
1937-2817,12 months embargo,cannot,yellow,,The Journal of Wildlife Management,24/11/2017,
1944-3277,can,can,green,CC-BY,Standards in Genomic Sciences,3/09/2018,
0890-4065,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Aging Studies,1/05/2015,
1077-5587,can,cannot,green,,Medical Care Research and Review,21/08/2019,
1552-6801,can,cannot,green,,Medical Care Research and Review,21/08/2019,
1539-7785,12 months embargo,cannot,yellow,,Explorations in Media Ecology,11/02/2016,
2048-0717,12 months embargo,cannot,yellow,,Explorations in Media Ecology,11/02/2016,
1948-7185,12 months embargo,cannot,white,,The Journal of Physical Chemistry Letters,19/09/2016,
0004-6264,12 months embargo,cannot,green,,Publications of the Astronomical Society of Japan,30/05/2017,
2053-051X,12 months embargo,cannot,green,,Publications of the Astronomical Society of Japan,30/05/2017,
1475-3685,12 months embargo,Special conditions apply,yellow,,Review of Middle East Economics and Finance,1/04/2014,
1475-3693,12 months embargo,Special conditions apply,yellow,,Review of Middle East Economics and Finance,1/04/2014,
0218-1274,12 months embargo,cannot,yellow,,International Journal of Bifurcation and Chaos,29/10/2014,
1793-6551,12 months embargo,cannot,yellow,,International Journal of Bifurcation and Chaos,29/10/2014,
0095-4918,,,,,The Journal of Portfolio Management,,
2168-8656,,,,,The Journal of Portfolio Management,,
0105-4538,12 months embargo,cannot,yellow,,Allergy,24/11/2017,
1398-9995,12 months embargo,cannot,yellow,,Allergy,24/11/2017,
1746-0913,3 months embargo,cannot,yellow,,Future Microbiology,4/08/2017,
1746-0921,3 months embargo,cannot,yellow,,Future Microbiology,4/08/2017,
2077-0472,can,can,green,CC-BY,Agriculture,14/12/2016,
0378-3774,12 months embargo,cannot,green,CC-BY-NC-ND,Agricultural Water Management,24/06/2015,
1448-4528,18 months embargo,cannot,green,,Life Writing,26/03/2014,
1751-2964,18 months embargo,cannot,green,,Life Writing,26/03/2014,
1743-8977,can,can,green,CC-BY,Particle and Fibre Toxicology,3/09/2018,
2043-8567,can,cannot,green,,Britain and the World,4/05/2017,
2043-8575,can,cannot,green,,Britain and the World,4/05/2017,
1353-7903,18 months embargo,cannot,green,,Journal of Contemporary Religion,26/03/2014,
1469-9419,18 months embargo,cannot,green,,Journal of Contemporary Religion,26/03/2014,
2205-0795,can,can,green,CC-BY,Student Success,16/03/2016,
0265-671X,can,cannot,green,,International Journal of Quality & Reliability Management,16/02/2018,
0006-5196,No information,No information,No information,,"Blumea - Biodiversity, Evolution and Biogeography of Plants",,
2212-1676,No information,No information,No information,,"Blumea - Biodiversity, Evolution and Biogeography of Plants",,
1751-1348,can,cannot,green,,Journal of Management History,16/02/2018,
1326-365X,can,cannot,green,,Asia Pacific Media Educator,21/08/2019,
2321-5410,can,cannot,green,,Asia Pacific Media Educator,21/08/2019,
0301-4215,12 months embargo,cannot,green,CC-BY-NC-ND,Energy Policy,1/05/2015,
2542-5196,can,can,green,CC-BY,The Lancet Planetary Health,11/04/2019,
0263-7960,12 months embargo,cannot,yellow,,Built Environment,24/06/2010,
0898-5626,18 months embargo,cannot,green,,Entrepreneurship & Regional Development,26/03/2014,
1464-5114,18 months embargo,cannot,green,,Entrepreneurship & Regional Development,26/03/2014,
0095-3628,12 months embargo,cannot,green,,Microbial Ecology,16/05/2014,
1432-184X,12 months embargo,cannot,green,,Microbial Ecology,16/05/2014,
2057-5858,can,can,green,CC-BY-NC,Microbial Genomics,7/09/2018,
1754-2413,can,cannot,green,,Gender in Management: An International Journal,16/02/2018,
1369-801X,18 months embargo,cannot,green,,Interventions,26/03/2014,
1469-929X,18 months embargo,cannot,green,,Interventions,26/03/2014,
0941-0643,12 months embargo,cannot,green,,Neural Computing and Applications,18/10/2018,
1433-3058,12 months embargo,cannot,green,,Neural Computing and Applications,18/10/2018,
0160-6891,12 months embargo,cannot,yellow,,Research in Nursing & Health,24/11/2017,
1098-240X,12 months embargo,cannot,yellow,,Research in Nursing & Health,24/11/2017,
1446-1811,6 months embargo,cannot,green,CC-BY-NC-ND,The ANZIAM Journal,9/10/2014,
1446-8735,6 months embargo,cannot,green,CC-BY-NC-ND,The ANZIAM Journal,9/10/2014,
1051-9815,can,cannot,green,,Work,18/04/2016,
1875-9270,can,cannot,green,,Work,18/04/2016,
2331-2343,,,,,"Journal of Motivation, Emotion, and Personality: Reversal Theory Studies",,
1542-7609,12 months embargo,cannot,green,,Research in Human Development,26/03/2014,
1542-7617,12 months embargo,cannot,green,,Research in Human Development,26/03/2014,
1441-0745,12 months embargo,cannot,yellow,,Nursing & Health Sciences,24/11/2017,
1442-2018,12 months embargo,cannot,yellow,,Nursing & Health Sciences,24/11/2017,
2053-0862,6 months embargo,cannot,white,,Livestock,20/02/2018,
2053-0870,6 months embargo,cannot,white,,Livestock,20/02/2018,
2397-7604,can,cannot,green,,Journal of Research in Innovative Teaching & Learning,16/02/2018,
1547-6286,12 months embargo,cannot,green,,RNA Biology,26/03/2014,
1555-8584,12 months embargo,cannot,green,,RNA Biology,26/03/2014,
1756-8935,can,can,green,CC-BY,Epigenetics & Chromatin,3/09/2018,
1479-1420,18 months embargo,cannot,green,,Communication and Critical/Cultural Studies,26/03/2014,
1479-4233,18 months embargo,cannot,green,,Communication and Critical/Cultural Studies,26/03/2014,
1749-6535,12 months embargo,cannot,green,,Ethics and Social Welfare,26/03/2014,
1749-6543,12 months embargo,cannot,green,,Ethics and Social Welfare,26/03/2014,
1871-403X,12 months embargo,cannot,green,CC-BY-NC-ND,Obesity Research & Clinical Practice,1/05/2015,
1526-7431,18 months embargo,cannot,green,,Journal of Family Communication,26/03/2014,
1532-7698,18 months embargo,cannot,green,,Journal of Family Communication,26/03/2014,
0360-5310,can,cannot,green,,The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy of Medicine,8/02/2017,
1744-5019,can,cannot,green,,The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy of Medicine,8/02/2017,
1087-1845,12 months embargo,cannot,green,CC-BY-NC-ND,Fungal Genetics and Biology,1/05/2015,
1096-0937,12 months embargo,cannot,green,CC-BY-NC-ND,Fungal Genetics and Biology,1/05/2015,
0951-7715,12 months embargo,cannot,green,CC-BY-NC-ND,Nonlinearity,22/11/2017,
1361-6544,12 months embargo,cannot,green,CC-BY-NC-ND,Nonlinearity,22/11/2017,
2055-7132,,,,,Communication Design,,
2055-7140,,,,,Communication Design,,
0184-7678,can,cannot,green,,Cahiers Élisabéthains: A Journal of English Renaissance Studies,21/08/2019,
2054-4715,can,cannot,green,,Cahiers Élisabéthains: A Journal of English Renaissance Studies,21/08/2019,
0022-2429,can,cannot,green,,Journal of Marketing,21/08/2019,
1547-7185,can,cannot,green,,Journal of Marketing,21/08/2019,
0167-8116,12 months embargo,cannot,green,CC-BY-NC-ND,International Journal of Research in Marketing,1/05/2015,
1754-9426,can,cannot,green,CC-BY-NC-ND,Industrial and Organizational Psychology,7/10/2014,
1754-9434,can,cannot,green,CC-BY-NC-ND,Industrial and Organizational Psychology,7/10/2014,
0735-2689,12 months embargo,cannot,green,,Critical Reviews in Plant Sciences,26/03/2014,
1549-7836,12 months embargo,cannot,green,,Critical Reviews in Plant Sciences,26/03/2014,
1079-5014,12 months embargo,cannot,green,CC,The Journals of Gerontology Series B: Psychological Sciences and Social Sciences,30/05/2017,
1758-5368,12 months embargo,cannot,green,CC,The Journals of Gerontology Series B: Psychological Sciences and Social Sciences,30/05/2017,
1476-069X,can,can,green,CC-BY,Environmental Health,3/09/2018,
2044-0243,18 months embargo,cannot,green,,Journal for the Study of Spirituality,26/03/2014,
2044-0251,18 months embargo,cannot,green,,Journal for the Study of Spirituality,26/03/2014,
1749-9151,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Teaching and Case Studies,25/09/2018,
1749-916X,12 months embargo,6 months embargo,yellow,CC-BY-ND ,International Journal of Teaching and Case Studies,25/09/2018,
0022-247X,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Mathematical Analysis and Applications,1/05/2015,
1096-0813,12 months embargo,cannot,green,CC-BY-NC-ND,Journal of Mathematical Analysis and Applications,1/05/2015,
1745-6150,can,can,green,CC-BY,Biology Direct,3/09/2018,
0172-8865,can,cannot,green,,English World-Wide. A Journal of Varieties of English,22/02/2016,
1569-9730,can,cannot,green,,English World-Wide. A Journal of Varieties of English,22/02/2016,
2211-8837,12 months embargo,cannot,green,CC-BY-NC-ND,Health Policy and Technology,1/05/2015,
1090-6738,2 years embargo,cannot,yellow,,International Journal of Auditing,24/11/2017,
1099-1123,2 years embargo,cannot,yellow,,International Journal of Auditing,24/11/2017,
0008-7041,12 months embargo,cannot,yellow,,The Cartographic Journal,22/01/2014,
1743-2774,12 months embargo,cannot,yellow,,The Cartographic Journal,22/01/2014,
1367-2223,12 months embargo,cannot,yellow,,Asian Journal of Social Psychology,24/11/2017,
1467-839X,12 months embargo,cannot,yellow,,Asian Journal of Social Psychology,24/11/2017,
