issn,journal_title,oa_model,apc,year
1878-4658,International Journal of Early Childhood,Hybrid,3000,2018
1437-3262,International Journal of Earth Sciences,Hybrid,3000,2018
1865-1380,International Journal of Emergency Medicine,Open Access,1600,2018
2522-0101,International Journal of Energy and Water Resources,Hybrid,3000,2018
2008-2304,International Journal of Environmental Research,Hybrid,3000,2018
1735-2630,International Journal of Environmental Science and Technology,Hybrid,3000,2018
2364-0006,International Journal of Ethics Education,Hybrid,3000,2018
2196-2804,International Journal of Food Contamination,Open Access,1750,2018
1573-2673,International Journal of Fracture,Hybrid,3000,2018
2199-3211,International Journal of Fuzzy Systems,Hybrid,3000,2018
1432-1270,International Journal of Game Theory,Hybrid,3000,2018
2199-9279,International Journal of Geosynthetics and Ground Engineering,Hybrid,3000,2018
2199-9031,International Journal of Health Economics and Management,Hybrid,3000,2018
1476-072X,International Journal of Health Geographics,Open Access,2145,2018
1574-9282,International Journal of Hindu Studies,Hybrid,3000,2018
1573-7748,International Journal of Historical Archaeology,Hybrid,3000,2018
1476-5489,International Journal of Impotence Research,Hybrid,3300,2018
1615-5270,International Journal of Information Security,Hybrid,3000,2018
2511-2112,International Journal of Information Technology,Hybrid,3000,2018
2366-598X,International Journal of Intelligent Robotics and Applications,Hybrid,3000,2018
1868-8659,International Journal of Intelligent Transportation Systems Research,Hybrid,3000,2018
2509-9965,International Journal of Latin American Religions,Hybrid,3000,2018
1437-1596,International Journal of Legal Medicine,Hybrid,3000,2018
1868-808X,International Journal of Machine Learning and Cybernetics,Hybrid,3000,2018
1960-6214,International Journal of Material Forming,Hybrid,3000,2018
2198-2791,International Journal of Mechanical and Materials Engineering,Open Access,1420,2018
1573-8841,International Journal of Mechanics and Materials in Design,Hybrid,3000,2018
1557-1882,International Journal of Mental Health and Addiction,Hybrid,3000,2018
1752-4458,International Journal of Mental Health Systems,Open Access,2145,2018
2163-3193,International Journal of Metalcasting,Hybrid,3000,2018
1869-103X,"International Journal of Minerals, Metallurgy, and Materials",Hybrid,3000,2018
2192-662X,International Journal of Multimedia Information Retrieval,Hybrid,3000,2018
1476-5497,International Journal of Obesity,Hybrid,3300,2018
2049-3169,International Journal of Oral Science,Open Access,3975,2018
1573-7640,International Journal of Parallel Programming,Hybrid,3000,2018
1687-9856,International Journal of Pediatric Endocrinology,Open Access,2145,2018
1573-3904,International Journal of Peptide Research and Therapeutics,Hybrid,3000,2018
1735-6814,International Journal of Plant Production,Hybrid,3000,2018
1573-3416,"International Journal of Politics, Culture, and Society",Hybrid,3000,2018
2198-0810,International Journal of Precision Engineering and Manufacturing-Green Technology,Hybrid,3000,2018
1573-8604,International Journal of Primatology,Hybrid,3000,2018
1661-8564,International Journal of Public Health,Hybrid,3000,2018
2363-7021,International Journal of Quality Innovation,Open Access,980,2018
2198-9753,International Journal of Research in Undergraduate Mathematics Education,Hybrid,3000,2018
1573-1774,International Journal of Science and Mathematics Education,Hybrid,3000,2018
1875-4805,International Journal of Social Robotics,Hybrid,3000,2018
1572-8110,International Journal of Speech Technology,Hybrid,3000,2018
2093-6311,International Journal of Steel Structures,Hybrid,3000,2018
2196-7822,International Journal of STEM Education,Open Access,1105,2018
0976-4348,International Journal of System Assurance Engineering and Management,Hybrid,3000,2018
1573-1804,International Journal of Technology and Design Education,Hybrid,3000,2018
1874-6292,International Journal of the Classical Tradition,Hybrid,3000,2018
2520-8691,International Journal of the Sociology of Leisure,Hybrid,3000,2018
1572-9575,International Journal of Theoretical Physics,Hybrid,3000,2018
1572-9567,International Journal of Thermophysics,Hybrid,3000,2018
1572-8129,International Journal of Wireless Information Networks,Hybrid,3000,2018
1432-1300,International Journal on Digital Libraries,Hybrid,3000,2018
1433-2825,International Journal on Document Analysis and Recognition (IJDAR),Hybrid,3000,2018
1955-2505,International Journal on Interactive Design and Manufacturing (IJIDeM),Hybrid,3000,2018
1433-2787,International Journal on Software Tools for Technology Transfer,Hybrid,3000,2018
1618-1905,International Microbiology,Hybrid,3000,2018
1573-2630,International Ophthalmology,Hybrid,3000,2018
1432-5195,International Orthopaedics,Hybrid,3000,2018
1863-4613,International Review of Economics,Hybrid,3000,2018
1573-0638,International Review of Education,Hybrid,3000,2018
1865-1992,International Review on Public and Nonprofit Marketing,Hybrid,3000,2018
1573-6970,International Tax and Public Finance,Hybrid,3000,2018
1433-3023,International Urogynecology Journal,Hybrid,3000,2018
1573-2584,International Urology and Nephrology,Hybrid,3000,2018
1432-1297,Inventiones mathematicae,Hybrid,3000,2018
1439-1104,Invertebrate Neuroscience,Hybrid,3000,2018
1573-0646,Investigational New Drugs,Hybrid,3000,2018
1862-0760,Ionics,Hybrid,3000,2018
1882-6695,IPSJ Transactions on Computer Vision and Applications,Open Access,800,2018
2520-8446,Iran Journal of Computer Science,Hybrid,3000,2018
2364-1819,"Iranian Journal of Science and Technology, Transactions A: Science",Hybrid,3000,2018
2364-1843,"Iranian Journal of Science and Technology, Transactions of Civil Engineering",Hybrid,3000,2018
2364-1827,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",Hybrid,3000,2018
2364-1835,"Iranian Journal of Science and Technology, Transactions of Mechanical Engineering",Hybrid,3000,2018
1735-5265,Iranian Polymer Journal,Hybrid,3000,2018
1863-4362,Irish Journal of Medical Science (1971 -),Hybrid,3000,2018
2046-0481,Irish Veterinary Journal,Open Access,2380,2018
1432-1319,Irrigation Science,Hybrid,3000,2018
1565-8511,Israel Journal of Mathematics,Hybrid,3000,2018
2509-7997,ISSS Journal of Micro and Smart Systems,Hybrid,3000,2018
2199-3238,Italian Economic Journal,Hybrid,3000,2018
1824-7288,Italian Journal of Pediatrics,Open Access,2145,2018
2193-9004,IZA Journal of Labor Policy,Open Access,1535,2018
1869-7135,Jahresbericht der Deutschen Mathematiker-Vereinigung,Hybrid,3000,2018
1868-937X,Japan Journal of Industrial and Applied Mathematics,Hybrid,3000,2018
2520-8764,Japanese Journal of Statistics and Data Science,Hybrid,3000,2018
1432-1327,JBIC Journal of Biological Inorganic Chemistry,Hybrid,3000,2018
1572-8579,Jewish History,Hybrid,3000,2018
2273-4309,JFA The Journal of Frailty & Aging,Hybrid,3000,2018
2364-4869,Jindal Global Law Review,Hybrid,3000,2018
1543-1851,JOM,Hybrid,3000,2018
1565-8538,Journal d'Analyse Mathématique,Hybrid,3000,2018
1572-8587,Journal for General Philosophy of Science,Hybrid,3000,2018
2520-8713,Journal for STEM Education Research,Hybrid,3000,2018
1867-4313,Journal für Ästhetische Chirurgie,Hybrid,3000,2018
1728-6271,Journal für Gastroenterologische und Hepatologische Erkrankungen,Hybrid,3000,2018
1996-1553,Journal für Gynäkologische Endokrinologie/Österreich,Hybrid,3000,2018
2520-8500,Journal für Gynäkologische Endokrinologie/Schweiz,Hybrid,3000,2018
1998-7781,Journal für Klinische Endokrinologie und Stoffwechsel,Hybrid,3000,2018
1869-2699,Journal für Mathematik-Didaktik,Hybrid,3000,2018
2412-8287,Journal für Mineralstoffwechsel & Muskuloskelettale Erkrankungen,Hybrid,3000,2018
1680-9424,Journal für Urologie und Urogynäkologie/Österreich,Hybrid,3000,2018
2520-8403,Journal für Urologie und Urogynäkologie/Schweiz,Hybrid,3000,2018
1573-2835,Journal of Abnormal Child Psychology,Hybrid,3000,2018
1572-8544,Journal of Academic Ethics,Hybrid,3000,2018
1573-3440,Journal of Adult Development,Hybrid,3000,2018
1936-4741,Journal of African American Studies,Hybrid,3000,2018
1573-322X,Journal of Agricultural and Environmental Ethics,Hybrid,3000,2018
1537-2693,"Journal of Agricultural, Biological and Environmental Statistics",Hybrid,3000,2018
1572-9192,Journal of Algebraic Combinatorics,Hybrid,3000,2018
1868-5145,Journal of Ambient Intelligence and Humanized Computing,Hybrid,3000,2018
2509-4696,Journal of Analysis and Testing,Hybrid,3000,2018
1438-8359,Journal of Anesthesia,Hybrid,3000,2018
2367-1734,Journal of Applied and Computational Topology,Hybrid,3000,2018
1572-8838,Journal of Applied Electrochemistry,Hybrid,3000,2018
2190-3883,Journal of Applied Genetics,Hybrid,3000,2018
1865-2085,Journal of Applied Mathematics and Computing,Hybrid,3000,2018
1573-5176,Journal of Applied Phycology,Hybrid,3000,2018
2191-5040,Journal of Applied Volcanology,Open Access,1290,2018
1573-7764,Journal of Archaeological Method and Theory,Hybrid,3000,2018
1573-7756,Journal of Archaeological Research,Hybrid,3000,2018
1619-0904,Journal of Artificial Organs,Hybrid,3000,2018
1479-179X,Journal of Asset Management,Hybrid,2600,2018
1573-7330,Journal of Assisted Reproduction and Genetics,Hybrid,3000,2018
1573-0662,Journal of Atmospheric Chemistry,Hybrid,3000,2018
1573-3432,Journal of Autism and Developmental Disorders,Hybrid,3000,2018
1573-0670,Journal of Automated Reasoning,Hybrid,3000,2018
1750-2071,Journal of Banking Regulation,Hybrid,2600,2018
1573-3513,Journal of Behavioral Education,Hybrid,3000,2018
1573-3521,Journal of Behavioral Medicine,Hybrid,3000,2018
2196-1115,Journal of Big Data,Open Access,1230,2018
2198-4239,Journal of Bio- and Tribo-Corrosion,Hybrid,3000,2018
1573-6989,Journal of Bioeconomics,Hybrid,3000,2018
1573-6881,Journal of Bioenergetics and Biomembranes,Hybrid,3000,2018
1872-4353,Journal of Bioethical Inquiry,Hybrid,3000,2018
1754-1611,Journal of Biological Engineering,Open Access,2240,2018
1573-0689,Journal of Biological Physics,Hybrid,3000,2018
2241-5793,Journal of Biological Research-Thessaloniki,Open Access,2365,2018
2041-1480,Journal of Biomedical Semantics,Open Access,2145,2018
1573-5001,Journal of Biomolecular NMR,Hybrid,3000,2018
2543-2141,Journal of Bionic Engineering,Hybrid,3000,2018
1479-1803,Journal of Brand Management,Hybrid,2600,2018
2365-3167,Journal of Building Pathology and Rehabilitation,Hybrid,3000,2018
1573-353X,Journal of Business and Psychology,Hybrid,3000,2018
2509-7970,Journal of Business Cycle Research,Hybrid,3000,2018
1861-8928,Journal of Business Economics,Hybrid,3000,2018
1573-0697,Journal of Business Ethics,Hybrid,3000,2018
1543-0154,Journal of Cancer Education,Hybrid,3000,2018
1432-1335,Journal of Cancer Research and Clinical Oncology,Hybrid,3000,2018
1932-2267,Journal of Cancer Survivorship,Hybrid,3000,2018
1749-8090,Journal of Cardiothoracic Surgery,Open Access,2175,2018
1532-429X,Journal of Cardiovascular Magnetic Resonance,Open Access,2500,2018
1937-5395,Journal of Cardiovascular Translational Research,Hybrid,3000,2018
1873-961X,Journal of Cell Communication and Signaling,Hybrid,3000,2018
1572-8854,Journal of Chemical Crystallography,Hybrid,3000,2018
1573-1561,Journal of Chemical Ecology,Hybrid,3000,2018
1758-2946,Journal of Cheminformatics,Open Access,1890,2018
1936-153X,Journal of Child & Adolescent Trauma,Hybrid,3000,2018
1573-2843,Journal of Child and Family Studies,Hybrid,3000,2018
1874-6357,Journal of Chinese Political Science,Hybrid,3000,2018
2199-868X,Journal of Chinese Studies,Open Access,1030,2018
2190-5479,Journal of Civil Structural Health Monitoring,Hybrid,3000,2018
1432-1343,Journal of Classification,Hybrid,3000,2018
1573-2592,Journal of Clinical Immunology,Hybrid,3000,2018
1573-2614,Journal of Clinical Monitoring and Computing,Hybrid,3000,2018
2054-7072,Journal of Clinical Movement Disorders,Open Access,2145,2018
1573-3572,Journal of Clinical Psychology in Medical Settings,Hybrid,3000,2018
2192-113X,Journal of Cloud Computing,Open Access,985,2018
1572-8862,Journal of Cluster Science,Hybrid,3000,2018
1874-7841,Journal of Coastal Conservation,Hybrid,3000,2018
1935-3804,Journal of Coatings Technology and Research,Hybrid,3000,2018
2509-3304,Journal of Cognitive Enhancement,Hybrid,3000,2018
1573-2886,Journal of Combinatorial Optimization,Hybrid,3000,2018
2509-3312,Journal of Communications and Information Networks,Hybrid,3000,2018
1868-6001,Journal of Community Genetics,Hybrid,3000,2018
1573-3610,Journal of Community Health,Hybrid,3000,2018
1432-1351,Journal of Comparative Physiology A,Hybrid,3000,2018
1432-136X,Journal of Comparative Physiology B,Hybrid,3000,2018
2053-2393,Journal of Compassionate Health Care,Open Access,2145,2018
1572-8137,Journal of Computational Electronics,Hybrid,3000,2018
1573-6873,Journal of Computational Neuroscience,Hybrid,3000,2018
2432-2725,Journal of Computational Social Science,Hybrid,3000,2018
2263-8733,Journal of Computer Virology and Hacking Techniques,Hybrid,3000,2018
1573-4951,Journal of Computer-Aided Molecular Design,Hybrid,3000,2018
2197-9995,Journal of Computers in Education,Hybrid,3000,2018
1867-1233,Journal of Computing in Higher Education,Hybrid,3000,2018
2056-7251,Journal of Congenital Cardiology,Open Access,2145,2018
1573-0700,Journal of Consumer Policy,Hybrid,3000,2018
1661-5867,Journal of Consumer Protection and Food Safety,Hybrid,3000,2018
1573-3564,Journal of Contemporary Psychotherapy,Hybrid,3000,2018
2195-3899,"Journal of Control, Automation and Electrical Systems",Hybrid,3000,2018
1573-0719,Journal of Cross-Cultural Gerontology,Hybrid,3000,2018
2190-8516,Journal of Cryptographic Engineering,Hybrid,3000,2018
1432-1378,Journal of Cryptology,Hybrid,3000,2018
2520-1018,Journal of Cultural Cognitive Science,Hybrid,3000,2018
1573-6997,Journal of Cultural Economics,Hybrid,3000,2018
2199-465X,Journal of Developmental and Life-Course Criminology,Hybrid,3000,2018
1573-3580,Journal of Developmental and Physical Disabilities,Hybrid,3000,2018
2522-0934,Journal of Dharma Studies,Hybrid,3000,2018
2251-6581,Journal of Diabetes & Metabolic Disorders,Hybrid,3000,2018
1618-727X,Journal of Digital Imaging,Hybrid,3000,2018
2199-7454,Journal of Dynamic Behavior of Materials,Hybrid,3000,2018
1573-8698,Journal of Dynamical and Control Systems,Hybrid,3000,2018
1572-9222,Journal of Dynamics and Differential Equations,Hybrid,3000,2018
1867-111X,Journal of Earth Science,Hybrid,3000,2018
1572-8560,Journal of East Asian Linguistics,Hybrid,3000,2018
2050-2974,Journal of Eating Disorders,Open Access,2145,2018
1880-344X,Journal of Echocardiography,Hybrid,3000,2018
2288-1220,Journal of Ecology and Environment,Open Access,2145,2018
1573-7020,Journal of Economic Growth,Hybrid,3000,2018
1860-7128,Journal of Economic Interaction and Coordination,Hybrid,3000,2018
1617-7134,Journal of Economics,Hybrid,3000,2018
1938-9744,Journal of Economics and Finance,Hybrid,3000,2018
2520-842X,"Journal of Economics, Race, and Policy",Hybrid,3000,2018
1573-1812,Journal of Educational Change,Hybrid,3000,2018
1573-2681,Journal of Elasticity,Hybrid,3000,2018
1573-8663,Journal of Electroceramics,Hybrid,3000,2018
1543-186X,Journal of Electronic Materials,Hybrid,3000,2018
1573-0727,Journal of Electronic Testing,Hybrid,3000,2018
2296-9039,Journal of Elliptic and Parabolic Equations,Hybrid,3000,2018
1720-8386,Journal of Endocrinological Investigation,Hybrid,3000,2018
1573-2703,Journal of Engineering Mathematics,Hybrid,3000,2018
2052-336X,Journal of Environmental Health Science and Engineering,Hybrid,3000,2018
2190-6491,Journal of Environmental Studies and Sciences,Hybrid,3000,2018
1746-4269,Journal of Ethnobiology and Ethnomedicine,Open Access,2450,2018
1439-5444,Journal of Ethology,Hybrid,3000,2018
1424-3202,Journal of Evolution Equations,Hybrid,3000,2018
1432-1386,Journal of Evolutionary Economics,Hybrid,3000,2018
1756-9966,Journal of Experimental & Clinical Cancer Research,Open Access,2300,2018
1572-8315,Journal of Experimental Criminology,Hybrid,3000,2018
2197-1153,Journal of Experimental Orthopaedics,Open Access,1750,2018
1864-1245,Journal of Failure Analysis and Prevention,Hybrid,3000,2018
1573-3475,Journal of Family and Economic Issues,Hybrid,3000,2018
1573-2851,Journal of Family Violence,Hybrid,3000,2018
2348-8859,Journal of Fetal Medicine,Hybrid,3000,2018
1479-1846,Journal of Financial Services Marketing,Hybrid,2600,2018
1573-0735,Journal of Financial Services Research,Hybrid,3000,2018
1661-7746,Journal of Fixed Point Theory and Applications,Hybrid,3000,2018
2063-0212,Journal of Flow Chemistry,Hybrid,3000,2018
1573-4994,Journal of Fluorescence,Hybrid,3000,2018
2193-4134,Journal of Food Measurement and Characterization,Hybrid,3000,2018
0975-8402,Journal of Food Science and Technology,Hybrid,3000,2018
1757-1146,Journal of Foot and Ankle Research,Open Access,2145,2018
1993-0607,Journal of Forestry Research,Hybrid,3000,2018
2509-8039,Journal of Formative Design in Learning,Hybrid,3000,2018
1531-5851,Journal of Fourier Analysis and Applications,Hybrid,3000,2018
1572-9591,Journal of Fusion Energy,Hybrid,3000,2018
1573-3602,Journal of Gambling Studies,Hybrid,3000,2018
1435-5922,Journal of Gastroenterology,Hybrid,3000,2018
1941-6636,Journal of Gastrointestinal Cancer,Hybrid,3000,2018
1873-4626,Journal of Gastrointestinal Surgery,Hybrid,3000,2018
1525-1497,Journal of General Internal Medicine,Hybrid,3000,2018
1610-739X,Journal of General Plant Pathology,Hybrid,3000,2018
1573-3599,Journal of Genetic Counseling,Hybrid,3000,2018
1432-1394,Journal of Geodesy,Hybrid,3000,2018
1861-9568,Journal of Geographical Sciences,Hybrid,3000,2018
1435-5949,Journal of Geographical Systems,Hybrid,3000,2018
1420-8997,Journal of Geometry,Hybrid,3000,2018
2509-8829,Journal of Geovisualization and Spatial Analysis,Hybrid,3000,2018
1573-2916,Journal of Global Optimization,Hybrid,3000,2018
1572-9184,Journal of Grid Computing,Hybrid,3000,2018
1573-7780,Journal of Happiness Studies,Hybrid,3000,2018
2509-3436,Journal of Hardware and Systems Security,Hybrid,3000,2018
2072-1315,"Journal of Health, Population and Nutrition",Open Access,2145,2018
2509-498X,Journal of Healthcare Informatics Research,Hybrid,3000,2018
1756-8722,Journal of Hematology & Oncology,Open Access,2580,2018
1865-5785,Journal of Hematopathology,Hybrid,3000,2018
1572-9397,Journal of Heuristics,Hybrid,3000,2018
1029-8479,Journal of High Energy Physics,Open Access,2410,2018
1512-2891,Journal of Homotopy and Related Structures,Hybrid,3000,2018
1573-7772,Journal of Housing and the Built Environment,Hybrid,3000,2018
1435-232X,Journal of Human Genetics,Hybrid,3300,2018
1476-5527,Journal of Human Hypertension,Hybrid,3300,2018
2365-1792,Journal of Human Rights and Social Work,Hybrid,3000,2018
1878-0342,Journal of Hydrodynamics,Hybrid,3000,2018
1886-7995,Journal of Iberian Geology,Hybrid,3000,2018
1557-1920,Journal of Immigrant and Minority Health,Hybrid,3000,2018
1573-1111,Journal of Inclusion Phenomena and Macrocyclic Chemistry,Hybrid,3000,2018
2363-9962,Journal of Indian Council of Philosophical Research,Hybrid,3000,2018
1573-0395,Journal of Indian Philosophy,Hybrid,3000,2018
1476-5535,Journal of Industrial Microbiology & Biotechnology,Hybrid,3000,2018
1573-7012,"Journal of Industry, Competition and Trade",Hybrid,3000,2018
1029-242X,Journal of Inequalities and Applications,Open Access,1140,2018
1476-9255,Journal of Inflammation,Open Access,2300,2018
1466-4437,Journal of Information Technology,Hybrid,2600,2018
1866-6906,"Journal of Infrared, Millimeter, and Terahertz Waves",Hybrid,3000,2018
1573-2665,Journal of Inherited Metabolic Disease,Hybrid,3000,2018
2192-5372,Journal of Innovation and Entrepreneurship,Open Access,1085,2018
1574-1451,Journal of Inorganic and Organometallic Polymers and Materials,Hybrid,3000,2018
1572-8889,Journal of Insect Behavior,Hybrid,3000,2018
1572-9753,Journal of Insect Conservation,Hybrid,3000,2018
1573-0409,Journal of Intelligent & Robotic Systems,Hybrid,3000,2018
1573-7675,Journal of Intelligent Information Systems,Hybrid,3000,2018
1572-8145,Journal of Intelligent Manufacturing,Hybrid,3000,2018
2522-0705,Journal of International Business Policy,Hybrid,2600,2018
1478-6990,Journal of International Business Studies,Hybrid,2600,2018
1573-7349,Journal of International Entrepreneurship,Hybrid,3000,2018
1874-6365,Journal of International Migration and Integration,Hybrid,3000,2018
1869-0238,Journal of Internet Services and Applications,Open Access,1085,2018
1572-8595,Journal of Interventional Cardiac Electrophysiology,Hybrid,3000,2018
2210-3988,Journal of Iron and Steel Research International,Hybrid,3000,2018
1936-4768,Journal of Labor Research,Hybrid,3000,2018
1572-9583,"Journal of Logic, Language and Information",Hybrid,3000,2018
1573-7357,Journal of Low Temperature Physics,Hybrid,3000,2018
1573-7055,Journal of Mammalian Evolution,Hybrid,3000,2018
1573-7039,Journal of Mammary Gland Biology and Neoplasia,Hybrid,3000,2018
1572-963X,Journal of Management & Governance,Hybrid,3000,2018
2191-477X,Journal of Management Control,Hybrid,3000,2018
1437-8213,Journal of Marine Science and Technology,Hybrid,3000,2018
1557-2293,Journal of Maritime Archaeology,Hybrid,3000,2018
2050-3326,Journal of Marketing Analytics,Hybrid,2600,2018
1611-8227,Journal of Material Cycles and Waste Management,Hybrid,3000,2018
1544-1024,Journal of Materials Engineering and Performance,Hybrid,3000,2018
1573-4803,Journal of Materials Science,Hybrid,3000,2018
1573-482X,Journal of Materials Science: Materials in Electronics,Hybrid,3000,2018
1573-4838,Journal of Materials Science: Materials in Medicine,Hybrid,3000,2018
1432-1416,Journal of Mathematical Biology,Hybrid,3000,2018
1572-8897,Journal of Mathematical Chemistry,Hybrid,3000,2018
1422-6952,Journal of Mathematical Fluid Mechanics,Hybrid,3000,2018
1573-7683,Journal of Mathematical Imaging and Vision,Hybrid,3000,2018
2190-5983,Journal of Mathematics in Industry,Open Access,1350,2018
1573-1820,Journal of Mathematics Teacher Education,Hybrid,3000,2018
0974-942X,Journal of Maxillofacial and Oral Surgery,Hybrid,3000,2018
2199-4757,Journal of Medical and Biological Engineering,Hybrid,3000,2018
1752-1947,Journal of Medical Case Reports,Open Access,1290,2018
1573-3645,Journal of Medical Humanities,Hybrid,3000,2018
1573-689X,Journal of Medical Systems,Hybrid,3000,2018
1937-6995,Journal of Medical Toxicology,Hybrid,3000,2018
1613-2254,Journal of Medical Ultrasonics,Hybrid,3000,2018
2194-6426,Journal of Micro-Bio Robotics,Hybrid,3000,2018
1432-1432,Journal of Molecular Evolution,Hybrid,3000,2018
1567-2387,Journal of Molecular Histology,Hybrid,3000,2018
1432-1440,Journal of Molecular Medicine,Hybrid,3000,2018
0948-5023,Journal of Molecular Modeling,Hybrid,3000,2018
1559-1166,Journal of Molecular Neuroscience,Hybrid,3000,2018
1993-0321,Journal of Mountain Science,Hybrid,3000,2018
1573-2657,Journal of Muscle Research and Cell Motility,Hybrid,3000,2018
1477-3155,Journal of Nanobiotechnology,Open Access,2145,2018
1572-896X,Journal of Nanoparticle Research,Hybrid,3000,2018
1861-0293,Journal of Natural Medicines,Hybrid,3000,2018
1724-6059,Journal of Nephrology,Hybrid,3000,2018
1573-7705,Journal of Network and Systems Management,Hybrid,3000,2018
1435-1463,Journal of Neural Transmission,Hybrid,3000,2018
1866-1955,Journal of Neurodevelopmental Disorders,Open Access,2450,2018
1743-0003,Journal of NeuroEngineering and Rehabilitation,Open Access,2240,2018
1557-1904,Journal of Neuroimmune Pharmacology,Hybrid,3000,2018
1742-2094,Journal of Neuroinflammation,Open Access,2450,2018
1432-1459,Journal of Neurology,Hybrid,3000,2018
1573-7373,Journal of Neuro-Oncology,Hybrid,3000,2018
1538-2443,Journal of NeuroVirology,Hybrid,3000,2018
1573-4862,Journal of Nondestructive Evaluation,Hybrid,3000,2018
1432-1467,Journal of Nonlinear Science,Hybrid,3000,2018
1573-3653,Journal of Nonverbal Behavior,Hybrid,3000,2018
1532-6551,Journal of Nuclear Cardiology,Hybrid,3000,2018
1745-6673,Journal of Occupational Medicine and Toxicology,Open Access,2260,2018
1573-3688,Journal of Occupational Rehabilitation,Hybrid,3000,2018
2198-6452,Journal of Ocean Engineering and Marine Energy,Hybrid,3000,2018
1993-5021,Journal of Ocean University of China,Hybrid,3000,2018
1573-868X,Journal of Oceanography,Hybrid,3000,2018
2199-8531,"Journal of Open Innovation: Technology, Market, and Complexity",Open Access,800,2018
1869-5760,Journal of Ophthalmic Inflammation and Infection,Open Access,1780,2018
0974-6900,Journal of Optics,Hybrid,3000,2018
1573-2878,Journal of Optimization Theory and Applications,Hybrid,3000,2018
2193-7206,Journal of Ornithology,Hybrid,3000,2018
1615-6714,Journal of Orofacial Orthopedics / Fortschritte der Kieferorthopädie,Hybrid,3000,2018
1749-799X,Journal of Orthopaedic Surgery and Research,Open Access,2450,2018
1590-9999,Journal of Orthopaedics and Traumatology,Open Access,2145,2018
1916-0216,Journal of Otolaryngology - Head & Neck Surgery,Open Access,2145,2018
2522-879X,Journal of Outdoor and Environmental Education,Hybrid,3000,2018
2520-1042,Journal of Packaging Technology and Research,Hybrid,3000,2018
1573-0417,Journal of Paleolimnology,Hybrid,3000,2018
2520-8217,Journal of Paleolithic Archaeology,Hybrid,3000,2018
2509-8020,Journal of Patient-Reported Outcomes,Open Access,1500,2018
2199-2673,Journal of Pediatric Neuropsychology,Hybrid,3000,2018
1476-5543,Journal of Perinatology,Hybrid,3300,2018
1612-4766,Journal of Pest Science,Hybrid,3000,2018
2055-0294,Journal of Pharmaceutical Health Care and Sciences,Open Access,2220,2018
1939-8042,Journal of Pharmaceutical Innovation,Hybrid,3000,2018
2093-6214,Journal of Pharmaceutical Investigation,Hybrid,3000,2018
2052-3211,Journal of Pharmaceutical Policy and Practice,Open Access,2260,2018
1573-8744,Journal of Pharmacokinetics and Pharmacodynamics,Hybrid,3000,2018
1863-7345,Journal of Phase Equilibria and Diffusion,Hybrid,3000,2018
1573-0433,Journal of Philosophical Logic,Hybrid,3000,2018
1880-6805,Journal of Physiological Anthropology,Open Access,1990,2018
1877-8755,Journal of Physiology and Biochemistry,Hybrid,3000,2018
1867-0725,Journal of Plant Biology,Hybrid,3000,2018
1861-3837,Journal of Plant Diseases and Protection,Hybrid,3000,2018
1435-8107,Journal of Plant Growth Regulation,Hybrid,3000,2018
2239-7264,Journal of Plant Pathology,Hybrid,3000,2018
1618-0860,Journal of Plant Research,Hybrid,3000,2018
1936-6469,Journal of Police and Criminal Psychology,Hybrid,3000,2018
1572-8935,Journal of Polymer Research,Hybrid,3000,2018
1572-8900,Journal of Polymers and the Environment,Hybrid,3000,2018
1874-7876,Journal of Population Ageing,Hybrid,3000,2018
1432-1475,Journal of Population Economics,Hybrid,3000,2018
1835-9469,Journal of Population Research,Hybrid,3000,2018
1573-4854,Journal of Porous Materials,Hybrid,3000,2018
1573-0441,Journal of Productivity Analysis,Hybrid,3000,2018
1662-999X,Journal of Pseudo-Differential Operators and Applications,Hybrid,3000,2018
1573-6555,Journal of Psycholinguistic Research,Hybrid,3000,2018
1573-3505,Journal of Psychopathology and Behavioral Assessment,Hybrid,3000,2018
2198-963X,Journal of Psychosocial Rehabilitation and Mental Health,Hybrid,3000,2018
1613-2238,Journal of Public Health,Hybrid,3000,2018
1745-655X,Journal of Public Health Policy,Hybrid,2600,2018
1573-7799,Journal of Quantitative Criminology,Hybrid,3000,2018
2364-1045,Journal of Quantitative Economics,Hybrid,3000,2018
2196-8837,Journal of Racial and Ethnic Health Disparities,Hybrid,3000,2018
1948-7908,Journal of Radiation Oncology,Hybrid,3000,2018
1588-2780,Journal of Radioanalytical and Nuclear Chemistry,Hybrid,3000,2018
1573-6563,Journal of Rational-Emotive & Cognitive-Behavior Therapy,Hybrid,3000,2018
1861-8219,Journal of Real-Time Image Processing,Hybrid,3000,2018
1573-0468,Journal of Regulatory Economics,Hybrid,3000,2018
2199-4676,Journal of Reliable Intelligent Environments,Hybrid,3000,2018
1573-6571,Journal of Religion and Health,Hybrid,3000,2018
2199-4625,Journal of Religious Education,Hybrid,3000,2018
2210-4690,Journal of Remanufacturing,Hybrid,3000,2018
1477-657X,Journal of Revenue and Pricing Management,Hybrid,2600,2018
1573-0476,Journal of Risk and Uncertainty,Hybrid,3000,2018
1863-2491,Journal of Robotic Surgery,Hybrid,3000,2018
1099-1425,Journal of Scheduling,Hybrid,3000,2018
1573-1839,Journal of Science Education and Technology,Hybrid,3000,2018
1573-7691,Journal of Scientific Computing,Hybrid,3000,2018
